lotSizeSqFt,livingAreaSqFt,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher,Bathrooms,Bedrooms,Stories,hasGarage,hasAssociation,HasSecurityFeatures
5314.0,1250.0,2.266666666666667,3.0,1457,13,3.0,2,2,0,1,0
7797.0,3485.0,2.766666666666667,8.333333333333334,1533,17,4.0,5,2,0,1,0
9147.0,1526.0,2.966666666666667,3.6666666666666665,1085,11,2.0,3,1,0,1,0
6185.0,2124.0,3.2,3.6666666666666665,1532,12,2.0,3,1,0,1,0
7927.0,2965.0,1.6333333333333335,8.666666666666666,1632,16,3.0,4,2,0,1,0
7666.0,3205.0,1.9,8.333333333333334,1481,16,4.0,5,2,1,1,0
81021.6,5449.0,2.5333333333333337,8.333333333333334,1533,17,5.0,5,2,0,1,0
53143.2,5099.0,1.9333333333333336,7.0,1381,16,5.0,5,2,1,1,1
5837.0,2403.0,2.966666666666667,3.6666666666666665,1085,11,3.0,3,1,0,1,0
13068.0,3939.0,2.0,7.0,1277,16,4.0,5,2,0,1,1
16117.2,2116.0,0.8666666666666667,8.666666666666666,1632,16,3.0,3,1,1,1,1
10585.0,3409.0,3.266666666666667,7.666666666666668,1259,14,3.0,4,1,1,1,0
43560.0,3848.0,2.0,7.0,1381,16,4.0,5,2,0,1,0
5183.0,1786.0,1.6666666666666667,3.0,1457,13,2.0,4,1,0,1,0
6969.0,2289.0,3.0666666666666664,3.6666666666666665,1532,12,3.0,3,1,0,1,0
16988.4,596.0,3.3000000000000003,7.0,1277,16,1.0,2,1,0,1,0
14810.4,1554.0,2.8000000000000003,3.0,1457,13,2.0,4,1,1,0,1
5662.0,1704.0,3.1666666666666665,3.6666666666666665,1085,11,2.0,3,1,1,1,1
7013.0,2852.0,1.4333333333333336,8.0,1275,15,3.0,3,2,1,1,1
6098.0,2505.0,1.4,2.6666666666666665,1063,14,2.5,4,2,1,1,0
4486.0,2088.0,1.8333333333333333,3.0,1457,13,3.0,4,2,0,1,0
9234.0,1206.0,2.2666666666666666,2.6666666666666665,1478,13,2.0,3,1,1,1,0
13939.2,3119.0,3.1,7.0,1523,17,3.0,4,2,0,1,0
8145.0,2191.0,1.9,8.333333333333334,1481,16,2.0,3,1,1,1,1
172497.6,9866.0,3.4333333333333336,8.333333333333334,1533,17,10.0,6,2,1,1,0
5793.0,1160.0,3.2,3.6666666666666665,1085,11,2.0,3,1,1,1,0
6926.0,2420.0,3.1666666666666665,3.6666666666666665,1532,12,3.0,4,2,1,1,1
4312.0,1278.0,1.8333333333333333,3.0,1457,13,2.0,3,1,0,1,0
5357.0,2094.0,1.7000000000000002,3.0,1457,13,3.0,4,2,0,1,0
33976.8,5027.0,2.0333333333333337,7.0,1277,16,5.0,4,2,0,1,1
4748.0,1096.0,3.233333333333333,3.0,1457,13,2.0,3,1,0,1,0
5662.0,2425.0,3.1333333333333333,7.666666666666668,1259,14,3.0,3,1,1,1,1
4617.0,1320.0,3.1666666666666665,3.6666666666666665,1085,11,2.0,3,1,1,1,0
5998.0,1780.0,1.2333333333333332,3.0,1108,14,2.0,4,1,1,1,1
116305.2,7740.0,2.766666666666667,8.333333333333334,1476,17,8.0,6,2,0,1,1
45302.4,4878.0,2.0,7.0,1381,16,5.0,5,2,0,1,0
27007.2,2873.0,1.0,8.666666666666666,1632,16,3.0,4,2,1,0,0
7535.0,1652.0,1.9666666666666668,3.0,1457,13,2.0,3,1,1,1,0
7405.0,2501.0,3.4333333333333336,3.6666666666666665,1532,12,3.0,4,1,1,1,1
5837.0,2406.0,2.4,6.0,1228,14,2.0,3,1,0,1,0
4617.0,1306.0,3.1666666666666665,3.6666666666666665,1085,11,2.0,3,1,1,1,1
12196.8,4362.0,2.1666666666666665,8.666666666666666,1533,17,4.0,4,2,1,1,0
11325.6,1540.0,2.033333333333333,7.0,1277,16,2.0,3,1,0,1,1
30927.6,2463.0,2.5,7.0,1523,17,3.0,3,2,1,1,0
13503.6,2454.0,0.8666666666666667,8.666666666666666,1632,16,3.0,3,1,0,1,0
10890.0,1968.0,2.1,8.333333333333334,1481,16,2.0,3,1,0,1,0
5488.0,1821.0,2.8666666666666667,3.6666666666666665,1532,12,2.0,3,1,1,1,0
13068.0,1848.0,3.733333333333333,8.333333333333334,1533,17,2.0,2,1,1,0,0
8712.0,2218.0,2.0,7.0,1277,16,2.0,3,1,1,1,1
27007.2,3371.0,5.133333333333333,7.0,1177,16,4.0,4,1,1,1,0
4181.0,1555.0,3.4,7.0,1177,16,2.0,3,1,0,1,1
11761.2,2647.0,3.766666666666667,8.0,1373,14,3.0,4,2,0,1,0
14810.4,2373.0,1.1333333333333333,8.666666666666666,1632,16,3.0,4,1,0,1,1
4399.0,1914.0,2.933333333333333,3.6666666666666665,1532,12,3.0,3,2,0,1,0
4356.0,2088.0,1.8666666666666665,3.0,1457,13,3.0,4,2,0,1,0
7840.0,1861.0,1.9666666666666668,7.0,1277,16,2.0,3,1,0,1,1
9757.0,1567.0,2.5,3.6666666666666665,480,14,2.0,4,1,0,0,0
13503.6,4214.0,2.05,9.0,1669,15,4.0,4,2,1,1,0
7927.0,1344.0,1.9333333333333331,3.0,1457,13,2.0,3,1,1,1,0
12196.8,2410.0,3.733333333333333,8.0,1373,14,3.0,4,1,1,1,0
50529.6,3227.0,1.4,8.666666666666666,1632,16,4.0,5,1,1,1,0
13068.0,704.0,3.8,8.333333333333334,1533,17,1.0,1,1,0,0,0
11761.2,3329.0,3.1,7.666666666666668,1259,14,5.0,4,2,0,1,0
6011.0,2068.0,2.9,3.6666666666666665,1532,12,3.0,4,2,0,1,0
11761.2,3304.0,1.9,7.0,1277,16,4.0,4,2,0,1,0
5749.0,1670.0,2.9,3.6666666666666665,1085,11,2.0,3,1,0,1,0
14374.8,2665.0,2.05,9.0,1669,15,3.0,3,1,1,1,0
13939.2,4021.0,4.9,5.666666666666668,1332,16,4.0,4,2,1,1,0
8842.0,3559.0,1.4666666666666668,8.0,1275,15,4.0,4,2,1,1,1
20908.8,2357.0,2.566666666666667,7.0,1523,17,2.5,3,1,0,1,0
5445.0,1982.0,2.9333333333333336,3.6666666666666665,1532,12,3.0,3,2,1,1,1
7026.0,2047.0,1.7,3.0,1457,13,2.0,4,1,1,1,0
54450.0,5307.0,4.733333333333333,7.0,1177,16,5.0,4,3,1,0,0
9757.0,3976.0,2.0,7.0,1277,16,4.0,5,2,1,1,1
32670.0,2100.0,4.033333333333333,3.0,1457,13,3.0,4,1,0,0,1
8232.0,1943.0,2.8000000000000003,8.333333333333334,1533,17,2.0,4,1,1,1,0
9626.0,3689.0,2.6333333333333333,8.333333333333334,1533,17,4.0,4,2,0,1,0
13068.0,3650.0,0.9333333333333332,8.666666666666666,1632,16,4.0,4,2,0,1,0
9931.0,2498.0,2.733333333333333,7.0,1523,17,3.0,4,2,1,1,1
30056.4,4771.0,2.1,9.0,1669,15,4.0,5,3,1,1,1
12196.8,2929.0,3.8666666666666667,8.0,1373,14,3.0,4,2,0,1,0
8276.0,3348.0,2.766666666666667,8.333333333333334,1533,17,4.0,5,2,0,1,0
5662.0,1746.0,2.1,8.333333333333334,1481,16,2.0,3,1,0,1,0
5532.0,1589.0,1.6000000000000003,3.0,1457,13,2.0,4,1,0,1,0
4791.0,1190.0,3.1333333333333333,3.6666666666666665,1085,11,2.0,3,1,1,1,1
6368.0,2299.0,0.5333333333333333,7.0,1381,16,3.0,4,2,1,1,1
16552.8,4380.0,5.433333333333334,7.0,1177,16,4.0,4,2,1,1,0
12196.8,2066.0,3.8666666666666667,8.0,1373,14,3.0,3,2,0,1,1
6534.0,1704.0,2.333333333333333,2.6666666666666665,1478,13,3.0,3,2,1,1,0
8276.0,2960.0,1.9333333333333331,8.333333333333334,1481,16,3.0,4,2,1,1,0
11761.2,4500.0,3.3000000000000003,7.0,1277,16,5.0,5,2,1,0,0
5314.0,1250.0,2.233333333333333,3.0,1457,13,2.5,2,2,0,1,0
7000.0,2084.0,2.466666666666667,6.0,1228,14,3.0,3,2,0,1,0
19166.4,4743.0,2.9,9.333333333333334,1360,14,5.0,5,2,1,1,0
129373.2,5921.0,1.7666666666666668,7.0,1381,16,5.0,5,1,1,1,1
5140.0,1419.0,1.6,3.0,1457,13,2.0,3,1,1,1,0
4791.0,1753.0,1.5666666666666669,4.666666666666667,1242,15,3.0,3,2,1,1,0
7405.0,3297.0,2.566666666666667,8.333333333333334,1533,17,4.0,4,2,1,1,1
33976.8,4637.0,2.0,9.0,1669,15,4.0,4,2,1,1,0
14810.4,1649.0,2.9,7.0,1277,16,2.0,3,1,0,0,0
8398.0,2766.0,3.6666666666666665,3.6666666666666665,1532,12,3.0,4,1,1,1,0
13939.2,2698.0,0.9666666666666668,8.666666666666666,1632,16,3.0,4,2,1,1,0
102366.0,4407.0,1.8,7.0,1381,16,6.0,4,2,1,1,0
11761.2,2731.0,2.6333333333333333,7.0,1277,16,4.0,3,2,1,1,0
4399.0,1448.0,2.9333333333333336,3.6666666666666665,1532,12,2.0,3,1,0,1,0
5662.0,1370.0,3.1,3.0,1457,13,2.0,3,1,1,1,1
13939.2,4056.0,2.766666666666667,8.333333333333334,1533,17,4.0,4,1,1,1,1
16117.2,3542.0,1.0,8.666666666666666,1632,16,4.0,4,1,0,1,0
22651.2,4631.0,2.2666666666666666,8.666666666666666,1533,17,5.0,5,2,0,1,0
5052.0,1490.0,2.333333333333333,7.0,1523,17,2.0,3,1,1,1,1
4617.0,1510.0,3.0,3.6666666666666665,1085,11,2.0,3,1,1,1,0
47044.8,4707.0,2.0,9.0,1669,15,6.0,5,2,0,1,0
85377.59999999999,4147.0,4.033333333333333,7.0,1277,16,4.0,4,1,1,0,0
8799.0,1598.0,1.9,3.0,1457,13,3.0,3,2,1,1,0
6534.0,2515.0,3.0666666666666664,3.6666666666666665,1532,12,3.0,4,2,0,1,0
14810.4,2304.0,2.966666666666667,3.0,1457,13,2.0,4,1,0,0,0
8842.0,3458.0,2.766666666666667,8.333333333333334,1533,17,4.0,4,2,1,1,1
14810.4,3013.0,1.9666666666666668,7.0,1277,16,4.0,4,2,1,1,1
54885.6,4620.0,1.8,7.0,1381,16,4.0,5,2,1,1,0
70567.20000000001,5742.0,4.066666666666666,8.0,1373,14,4.0,4,2,0,1,0
3571.0,1321.0,2.2,3.0,1457,13,3.0,3,2,0,1,1
69260.40000000001,6392.0,3.6,7.0,1277,16,6.5,4,2,1,1,1
41817.6,986.0,4.533333333333333,8.0,1373,14,1.0,2,2,1,1,1
3397.0,2137.0,2.4666666666666663,7.0,1523,17,2.0,3,2,0,1,0
6272.0,2073.0,3.0666666666666664,3.6666666666666665,1532,12,3.0,3,2,0,1,1
23086.800000000007,4142.0,2.05,9.0,1669,15,4.0,4,2,1,1,0
12196.8,2581.0,0.8666666666666667,8.666666666666666,1632,16,2.0,4,1,0,1,0
