,lotSizeSqFt,livingAreaSqFt,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher,Bathrooms,Bedrooms,price,zip,Stories,BuiltAfter2k,HasPatioPorch,zpid
97,5140.0,1975.0,2.0,8.333333333333334,1481,16,3.0,4,359965.0,78717,2,1,1,185218453
98,9452.0,1745.0,2.4666666666666663,3.6666666666666665,480,14,2.0,4,120000.0,78725,1,0,0,29392994
99,8276.0,1375.0,1.3333333333333333,2.6666666666666665,1063,14,2.0,3,225000.0,78660,1,1,0,111371253
100,6969.0,2502.0,3.1,3.6666666666666665,1532,12,3.0,4,388990.0,78744,1,1,0,2088245915
101,16988.4,2313.0,1.1,8.666666666666666,1632,16,2.0,4,435000.0,78750,1,0,0,29373974
102,15245.999999999998,2700.0,2.5,7.0,1523,17,3.0,4,795000.0,78750,2,0,0,29360984
103,5706.0,1480.0,1.8333333333333333,3.0,1457,13,2.0,3,218800.0,78725,1,1,0,241932874
104,6194.0,1321.0,2.2333333333333334,3.0,1457,13,3.0,3,200000.0,78725,2,1,1,145551433
105,7230.0,2267.0,1.2,8.0,1275,15,2.0,4,368500.0,78726,1,0,0,29376473
106,5749.0,2508.0,2.9333333333333336,3.6666666666666665,1085,11,3.0,3,454500.0,78724,1,1,1,305430992
107,12196.8,1791.0,1.2,3.6666666666666665,1051,12,2.0,3,285000.0,78660,1,1,0,251030246
108,142441.2,4491.0,2.466666666666667,7.0,1381,16,7.0,5,799000.0,78730,2,0,0,29347484
109,4007.0,1268.0,1.7333333333333334,3.0,1457,13,2.0,3,199000.0,78725,1,1,0,69811366
110,7187.0,2903.0,3.266666666666667,7.666666666666668,1259,14,3.0,3,622800.0,78717,1,1,0,116080950
111,11325.6,3033.0,2.033333333333333,7.0,1277,16,4.0,4,429000.0,78726,2,1,1,29370873
112,12196.8,2573.0,2.733333333333333,3.6666666666666665,1085,11,3.0,3,259900.0,78724,2,1,0,83814991
113,13503.6,2340.0,0.9,8.666666666666666,1632,16,3.0,4,629000.0,78750,2,0,1,29375973
114,7710.0,3187.0,3.266666666666667,7.666666666666668,1259,14,3.0,4,525000.0,78717,2,1,0,116080945
115,7492.0,3675.0,2.1333333333333333,7.0,1277,16,4.0,5,345000.0,78726,2,1,1,29370860
116,5000.0,1641.0,3.1666666666666665,3.0,1457,13,2.0,3,255000.0,78725,1,1,0,249890717
117,5532.0,1413.0,2.9666666666666663,3.6666666666666665,1532,12,2.0,3,282226.0,78744,1,1,1,2082177903
118,6229.0,1326.0,2.1666666666666665,2.6666666666666665,1478,13,2.0,3,180000.0,78724,1,1,0,63835425
119,4312.0,1203.0,1.8666666666666665,3.0,1457,13,2.0,3,184900.0,78725,1,1,0,70341361
120,8319.0,2922.0,2.833333333333333,7.0,1523,17,4.0,3,750000.0,78750,2,0,1,29358983
